substance_name,matchable,llm_kingdom,llm_superclass,llm_class,llm_subclass,llm_direct_parent,confidence,emb_match,emb_score,agree,both_match
DOW CORNING(R) OCTOPUS 3,TRUE,Organic compounds,Organometallic compounds,NA,NA,Organosilicon compounds,low,NA,NA,FALSE,FALSE
"lanthanum, lithium and zirconium containing amorphous frits",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,low,NA,NA,FALSE,FALSE
A mixture of: (E)-oxacyclohexadec-12-en-2-one; (E)-oxacyclohexadec-13-en-2-one; a) (Z)-oxacyclohexadec-(12)-en-2-one and b) (Z)-oxacyclohexadec-(13)-en-2-one,TRUE,Organic compounds,Organic acids and derivatives,Lactones,Macrolides and analogues,Macrolides and analogues,high,NA,NA,FALSE,FALSE
"Reaction product of the esterification of diglycerol with decanoic acid (Old name: 1,2,3-Propanetriol, homopolymer, decanoate)",TRUE,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,NA,Diradylglycerols,low,NA,NA,FALSE,FALSE
Paraffin oil/(CAS 97862-82-3),TRUE,Organic compounds,Hydrocarbons,Saturated hydrocarbons,Alkanes,Alkanes,high,NA,NA,FALSE,FALSE
"Formaldehyde, reaction products with N,N-dimethylbenzenamine and N-methylbenzenamine, oxidized, hydrochlorides",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Trialkylamines,low,NA,NA,FALSE,FALSE
"Reaction product aqueous Phosphoric Acid, 1-Methoxypropan-2-ol and 4,4'-Isopropylidenediphenol-Epichlorohydrin",TRUE,Organic compounds,Organophosphorus compounds,Organic phosphoric acids and derivatives,Phosphate esters,Phosphate esters,low,NA,NA,FALSE,FALSE
Reaction products of olive oil and ozone,TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,NA,Fatty acids and conjugates,low,NA,NA,FALSE,FALSE
"Nitric acid, reaction products with cyclododecanol and cyclododecanone, by-products from, high-boiling fraction",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Dicarboxylic acids and derivatives,Dicarboxylic acids and derivatives,low,NA,NA,FALSE,FALSE
"Fatty acids, vegetable-oil, Me esters, sulfurized",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acid methyl esters,medium,NA,NA,FALSE,FALSE
"1-(3,4-polymethoxyarylethyl)heteromonocycle-2,4,6(1H,3H,5H)-trione",TRUE,Organic compounds,Phenylpropanoids and polyketides,NA,NA,Barbituric acid derivatives,medium,NA,NA,FALSE,FALSE
"Poly(1-acetyloxyethyl)-poly-2-(1-hydroxyethyl)-poly-2-[4-[(4-methyl-1,3-dioxolan-2-yl)styryl]-N-methylpyridiniummethylsulfate]",TRUE,Organic compounds,Organic Polymers,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Resin acids and Rosin acids, esters with ethylene glycol",TRUE,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Diterpenoids,medium,NA,NA,FALSE,FALSE
lead compounds with the exception of those specified elsewhere in this Annex,TRUE,Inorganic compounds,Mixed metal/non-metal compounds,NA,NA,Miscellaneous mixed metal/non-metals,low,NA,NA,FALSE,FALSE
safflower oil,TRUE,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Triacylglycerols,Triacylglycerols,high,NA,NA,FALSE,FALSE
"trisodium 1-hydroxynaphthalene-2-azo-4'(5',5''-dimethylbiphenyl)-4''-azo(4''-phenylsulfonyloxybenzene)- 2',2'',4-trisulfonate",TRUE,Organic compounds,Benzenoids,Naphthalenes,NA,1-hydroxynaphthalene-2-carboxanilides,low,NA,NA,FALSE,FALSE
A-87861.0,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Sulfuric acid, mono-C8-14 (even-numbered)-alkyl esters, ammonium salts",TRUE,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,Organic sulfuric acids and derivatives,Sulfuric acid monoesters,medium,NA,NA,FALSE,FALSE
T002260,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
Papiliotrema terrestris PT22AV,TRUE,NA,NA,NA,NA,NA,high,NA,NA,FALSE,FALSE
"Reaction products of diazotised 5-aminonaphthalene-1-sulfonic acid, coupled with diazotised 1-naphthylamine and 8-anilinonaphthalene-1-sulphonic acid, potassium sodium salts",TRUE,Organic compounds,Benzenoids,Naphthalenes,NA,Azobenzenes,medium,NA,NA,FALSE,FALSE
Cobalt arsenide (CoAs2),TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Inorganic arsenic compounds,NA,Inorganic arsenic compounds,medium,NA,NA,FALSE,FALSE
Sodium salts of Mono- and di-[reaction products of dodecyl alcohol and ethylene oxide]phosphates,TRUE,Organic compounds,Organic acids and derivatives,Organic phosphoric acids and derivatives,Organic phosphoric acids and derivatives,Alkyl phosphates,medium,NA,NA,FALSE,FALSE
"Mercury, (2-ethylhexanoato-O)(1-methoxyethyl)",TRUE,Organic compounds,Organometallic compounds,Organotransition metal compounds,NA,Organotransition metal compounds,medium,NA,NA,FALSE,FALSE
"Reaction product of 1,1,2,3,3-pentamethyloctahydro-4Hinden-4-one, trimethyl orthoformate and 2-methylprop-2-en-1-ol",TRUE,Organic compounds,Organoheterocyclic compounds,Oxacyclic compounds,Oxolanes,Ortho esters,low,NA,NA,FALSE,FALSE
"Reaction products from the esterification of neopentylglycol with fatty acids, C16-18 (even numbered) and C18-unsatd. and fatty acids, C18-unsaturated, dimers",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,NA,Fatty acid esters,medium,NA,NA,FALSE,FALSE
5-(dimethyl(aryl)silyl)-2-(hydroxymethyl) heteromonocycle-1-carboxylic acid,TRUE,Organic compounds,Organometallic compounds,Organometalloid compounds,Organosilicon compounds,Alkylarylsilanes,medium,NA,NA,FALSE,FALSE
"Benzoic acid, 4-(1-methylethyl)-, cadmium salt",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid salts,Organic transition metal salts,medium,NA,NA,FALSE,FALSE
Reaction product of propargyl chloride and sodium bisulfite,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Residues, precious metal refining cementation",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Reaction product of 2,3-epoxypropyl neodecanoate and Benzenesulfonic acid, C10-13-sec-alkyl derivatives",TRUE,Organic compounds,Hydrocarbon derivatives,Organooxygen compounds,Alcohols and polyols,"1,2-aminoalcohols",low,NA,NA,FALSE,FALSE
"By-product, produced by polymerisation of of 8,9,10-trinorborn-2-ene and Ethen",TRUE,Organic compounds,Hydrocarbons,Unsaturated hydrocarbons,NA,Cyclic olefins,low,NA,NA,FALSE,FALSE
"L 708,350",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
Yellow JGW 743 REG,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Fatty acids, C8-C18 (even numbered), decyl esters",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,medium,NA,NA,FALSE,FALSE
Lead hexafluoro-silicate,TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Post-transition metal salts,Post-transition metal silicates,Post-transition metal silicates,medium,NA,NA,FALSE,FALSE
Fatty acids C18-(unsaturated) lithium salts,TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Unsaturated fatty acids,medium,NA,NA,FALSE,FALSE
"Reaction products of cuprate(4-), [C-(aminosulfonyl)-C-[[[2-[[4-chloro-6-[(2,5-disulfophenyl)amino]-1,3,5-triazin-2-yl]amino]ethyl]amino]sulfonyl]-29H,31H-phthalocyanine-C,C-disulfonato(6-)-N29,N30,N31,N32]-, tetrasodium and lithium chloride",TRUE,Organic compounds,Organoheterocyclic compounds,Tetrapyrroles and derivatives,NA,Phthalocyanines,medium,NA,NA,FALSE,FALSE
"Fatty acids, C16-18 (even numbered) and C18 unsatd., reaction products with triethanolamine, di-Me sulfate-quaternized",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Quaternary ammonium salts,Quaternary ammonium salts,medium,NA,NA,FALSE,FALSE
2-methylhio-4-trifluoromethyl benzoic acid,TRUE,Organic compounds,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,Benzoic acids,high,NA,NA,FALSE,FALSE
Chrome antimony titanium buff rutile,TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Inorganic oxides,NA,Inorganic oxides,medium,NA,NA,FALSE,FALSE
"Reaction product of resin acid and rosin acid, 12-Hydroxyoctadecanoic and stearic acid with dipentaerythritol",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,low,NA,NA,FALSE,FALSE
4-Methyl-2-propylbenzimidazole-6-carboxylic acid,TRUE,Organic compounds,Organoheterocyclic compounds,Benzimidazoles,Benzimidazoles,Benzimidazoles,high,NA,NA,FALSE,FALSE
Rock powder,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"trimethylolpropane, mixed triesters and diesters with n-octanoic and n-decanoic acids",TRUE,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,Trialkylglycerols,Triradylcglycerols,low,NA,NA,FALSE,FALSE
"Gallium hydroxy-[29H,31H-phthalocyaninate (2-)N29,N30, N31, N32]",TRUE,Organic compounds,Organometallic compounds,Metalloheterocyclic compounds,NA,Phthalocyanines,high,NA,NA,FALSE,FALSE
poppy-seed oil fatty acids,TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Unsaturated fatty acids,medium,NA,NA,FALSE,FALSE
"Silicic acid (H6Si2O7), barium magnesium strontium salt, lead-doped",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,medium,NA,NA,FALSE,FALSE
"Waxes and waxy substances, jojoba / Jojoba Esters",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,NA,Wax monoesters,high,NA,NA,FALSE,FALSE
Bacteriophage of Potato Soft Rot Enterobacteriaceae (BPSRE),TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
CuSi4Zn4MnP,TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Intermetallic transition metal compounds,NA,Intermetallic transition metal compounds,low,NA,NA,FALSE,FALSE
"(methacrylic acid, ethyl acrylate, n-butyl acrylate, methyl methacrylate and butadiene) copolymer in nanoform",TRUE,Organic compounds,Organic Polymers,NA,NA,NA,medium,NA,NA,FALSE,FALSE
"Reaction product of C16-22, even, C18-rich, unsaturated and saturated triglycerides with, N-(2-hydroxypropylamine)",TRUE,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,NA,Fatty amides,low,NA,NA,FALSE,FALSE
Ethandinitril,TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Nitriles,Nitriles,high,NA,NA,FALSE,FALSE
"(S)-3-N-n-Dodecyl-(1-N-α-amido-pyroglutaminyl)-1,3-diaminopropane",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,"Amino acids, peptides, and analogues",Oligopeptides,medium,NA,NA,FALSE,FALSE
"Oils, menhaden, lead salts",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Organic metal salts,low,NA,NA,FALSE,FALSE
"Fatty acids C18 unsat, reaction products with Pentaethylenehexamine",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Fatty amides,medium,NA,NA,FALSE,FALSE
Mustard powder,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Alcohols, C16-C18 (even numbered) and C18 (unsaturated), glycerol ethers",TRUE,Organic compounds,Lipids and lipid-like molecules,Glycerolipids,NA,Glycerol ethers,medium,NA,NA,FALSE,FALSE
"Fatty acids, vegetable-oil, polymd., unreacted fraction",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Unsaturated fatty acids,medium,NA,NA,FALSE,FALSE
"Low boiling point naphtha - unspecified|Hydrocarbons, C<sub>5</sub>-rich, dicyclopentadiene-contg.|[A complex combination of hydrocarbons obtained by distillation of the products from a steam-cracking process.  It consists predominantly of hydrocarbons ha",TRUE,Organic compounds,Hydrocarbons,Unsaturated hydrocarbons,NA,Cyclic olefins,medium,NA,NA,FALSE,FALSE
"Coal liquids, liq. solvent extn. soln.; [The product obtained by filtration of coal mineral matter and undissolved coal from coal extract solution produced by digesting coal in a liquid solvent. A black, viscous, highly complex liquid combination composed primarily of aromatic and partly hydro-genated aromatic hydrocarbons, aromatic nitrogen compounds, aromatic sulfur compounds, phenolic and other aromatic oxygen compounds and their alkyl derivatives.]",TRUE,Organic compounds,Hydrocarbons,Aromatic hydrocarbons,NA,Aromatic hydrocarbons,low,NA,NA,FALSE,FALSE
1-benzyl-4-phenyl-piperidin-4-carboxylic acid ethyl ester,TRUE,Organic compounds,Organoheterocyclic compounds,Piperidines,Piperidinecarboxylic acids and derivatives,Piperidinecarboxylic acids and derivatives,high,NA,NA,FALSE,FALSE
"Alkenes, C11-12, hydroformylation products, low boiling",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty aldehydes,Fatty aldehydes,medium,NA,NA,FALSE,FALSE
"Phosphinic acid, bis(perfluoro-C6-12-alkyl) derivs., aluminum salts",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,low,NA,NA,FALSE,FALSE
"Alcohols, C12-13, branched and linear, ethoxylated, sulfates, sodium salts",TRUE,Organic compounds,Organic acids and derivatives,Organic sulfuric acids and derivatives,NA,Sulfuric acid monoesters,medium,NA,NA,FALSE,FALSE
"Hydrocarbons, C20-58, hydrotreated; Baseoil — unspecified",TRUE,Organic compounds,Hydrocarbons,Saturated hydrocarbons,Alkanes,Alkanes,medium,NA,NA,FALSE,FALSE
"tetrapotassium 4-[5-[3-carboxylato-4,5-dihydro-5-oxo-1-(4-sulfonatophenyl)pyrazol-4-ylidene]-3-(piperidinocarbonyl)penta-1,3-dienylidene]-5-hydroxy-1-(4-sulfonatophenyl)pyrazole-3-carboxylate",TRUE,Organic compounds,Organoheterocyclic compounds,Azoles,Pyrazoles,Pyrazoles,medium,NA,NA,FALSE,FALSE
Platinum(IV) aqua hydroxo nitrato complexes,TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Homogeneous transition metal compounds,NA,Homogeneous transition metal compounds,medium,NA,NA,FALSE,FALSE
"titanium nitride, nanoparticles",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Homogeneous transition metal compounds,NA,Transition metal nitrides,high,NA,NA,FALSE,FALSE
ETANAL,TRUE,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,Short-chain aldehydes,high,NA,NA,FALSE,FALSE
"Spiro[bicyclo[3.1.0]hexane-2,2′-[1,3]dithiolan]-3-one, oxime, (1R,5R)- (ACI)",TRUE,Organic compounds,Organosulfur compounds,Thiolanes,NA,Oximes,low,NA,NA,FALSE,FALSE
METOCENE CHEMICAL CO1,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Resin acids and Rosin acids, calcium zinc salts",TRUE,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,Diterpenoids,medium,NA,NA,FALSE,FALSE
"Corn, steep liquor",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Amaryllidaceae, Allium Cepa L. (fresh bulb), Rutaceae, Citrus Limon (L.) Burm. F. (fresh pulp), extract, sodium chloride",TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
"Lead, isononanoate neodecanoate complexes, basic",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid salts,Organic metal salts,medium,NA,NA,FALSE,FALSE
BK 2256,TRUE,NA,NA,NA,NA,NA,low,NA,NA,FALSE,FALSE
Ti4 according to ISO 23515:2022,TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Transition metal salts,NA,Transition metal oxides,medium,NA,NA,FALSE,FALSE
Reaction products of dimethyl phosphonate with 2-alkyl-2-alkylpropanediol and alkanediol,TRUE,Organic compounds,Organophosphorus compounds,Organic phosphonic acids and derivatives,Phosphonic acid esters,Phosphonic acid diesters,medium,NA,NA,FALSE,FALSE
"tetrasodium 5-benzamido-3-(5-(4-fluoro-6-(1-sulphonato-2-naphthylamino)-1,3,5-triazin-2-ylamino)-2-sulphonatophenylazo)-4-hydroxynaphthalene-2,7- disulphonate",TRUE,Organic compounds,Benzenoids,Naphthalenes,NA,Naphthalenes,low,NA,NA,FALSE,FALSE
"Fatty acids C8-18 (even numbered), mono- and diesters with sucrose",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acid esters,Fatty acid esters,medium,NA,NA,FALSE,FALSE
"Resin acids and Rosin acids, reaction products with formaldehyde, calcium salts",TRUE,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,NA,Diterpenoids,low,NA,NA,FALSE,FALSE
"1,6-Octadien-3-ol, 3,7-dimethyl-, acid-isomerized",TRUE,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,Acyclic monoterpenoids,medium,NA,NA,FALSE,FALSE
salts of hydrazine,TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Hydrazines and derivatives,Hydrazines and derivatives,medium,NA,NA,FALSE,FALSE
"poly-[[6-[N-(2,2,6,6-tetramethyl- 4-piperidinyl)-n-butylamino]-1,3,5-triazine-2,4-diyl][(2,2,6,6-tetramethyl-4-piperidinyl)imino]-1,6-hexanediyl[(2,2,6,6-tetra­methyl-4-piperidinyl)imino]]-α-[N,N,N′,N′-tetrabutyl-N""-(2,2,6,6-tetramethyl-4-piperidinyl)-N""-[6-(2,2,6,6-tetramethyl-4-piperidiny­lamino)-hexyl]-[1,3,5-triazine-2,4,6-triamine]-ω-N,N,N′,N′-tetrabutyl-1,3,5-triazine-2,4-diamine]",TRUE,Organic compounds,Organoheterocyclic compounds,Triazines,NA,"1,3,5-triazines",medium,NA,NA,FALSE,FALSE
Benzyl-C12-14-alkyldimethylammonium chlorides,TRUE,Organic compounds,Organohalogen compounds,Organochlorides,Alkyl halides,Alkyldimethylbenzylammonium chlorides,high,Alkyldimethylbenzylammonium chlorides,0.8450302307368,TRUE,TRUE
"Lead chloride hydroxides, recovery products from lead and bismuth chemicals manufacturing",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Post-transition metal salts,Post-transition metal chlorides,Post-transition metal chlorides,medium,NA,NA,FALSE,FALSE
Vanadium zirconium yellow baddeleyite,TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Inorganic oxides,NA,Inorganic oxides,medium,NA,NA,FALSE,FALSE
Borate cobalt(2+) C3/C8/C10 carboxylates salts,TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,low,NA,NA,FALSE,FALSE
λ²-iron(2+) lithium(1+) phosphate,TRUE,Inorganic compounds,Inorganic salts,Mixed metal/non-metal compounds,NA,Transition metal phosphates,medium,NA,NA,FALSE,FALSE
"Cadmium, chloro(1,10-phenanthroline-2-carboxylato)-, polymers",TRUE,Organic compounds,Organometallic compounds,Organotransition metal compounds,NA,Organotransition metal compounds,low,NA,NA,FALSE,FALSE
"Spiro[piperidine-1,1'-pyrrolidinium] bifluoride",TRUE,Organic compounds,Organic nitrogen compounds,Azacyclic compounds,Azaspirodecane derivatives,Azaspirodecane derivatives,medium,NA,NA,FALSE,FALSE
"Reaction products of diazotized mixture of aniline, toluidines and xylidines coupled with mixture of aniline, toluidines and xylidines, subsequently diazotized then coupled with 2-naphthol",TRUE,Organic compounds,Hydrocarbon derivatives,Aryl halides,NA,Azo compounds,medium,NA,NA,FALSE,FALSE
"N-((3R,4R)-1-benzyl-4-alkylpiperidin-3-yl)-2-halogeno-N-alkyl-7H-pyrrolo[2,3-d]pyrimidin-4-amine",TRUE,Organic compounds,Organoheterocyclic compounds,Pyrrolopyrimidines,NA,"Pyrrolo[2,3-d]pyrimidines",high,NA,NA,FALSE,FALSE
"Extract oils (coal), tar base; Acid Extract; [The extract from coal tar oil alkaline extract residue produced by an acidic wash such as aqueous sulfuric acid after distillation to remove naphthalene. Composed primarily of the acid salts of various aromatic nitrogen bases including pyridine, quinoline, and their alkyl derivatives.]",TRUE,Organic compounds,Organoheterocyclic compounds,Pyridines and derivatives,NA,Pyridines and derivatives,low,NA,NA,FALSE,FALSE
"Main component: acetoacetic acid anilide/3-amino-1-hydroxybenzene (ATAN-MAP): trisodium {6-[(2 or 3 or 4)-amino-(4 or 5 or 6)-hydroxyphenylazo]-5'-(phenylsulfamoyl)-3-sulfonatonaphthalene-2-azobenzene-1,2'-diolato}-{6''-[1-(phenylcarbamoyl)ethylazo]-5'''-(phenylsulfamoyl)-3''-sulfonatonaphthalene-2''-azobenzene-1'',2'''-diolato}chromate (III); by-product 1: acetoacetic acid anilide/acetoacetic acid anilide (ATAN-ATAN): trisodium bis{6-[1-(phenylcarbamoyl)ethylazo]-5'-(phenylsulfonyl)-3-sulfonatonaphthalene-2-azobenzene-1,2'-diolato}chromate (III); by-product 2: 3-amino-1-hydroxybenzene/3-amino-1-hydroxybenzene (MAP-MAP): trisodium bis{6-[(2 or 3 or 4)-amino-(4 or 5 or 6)-hydroxyphenylazo]-5'-(phenylsulfamoyl)-3-sulfonatonaphthalene-2-azobenzene-1,2'-diolato} chromate (III)",TRUE,Organic compounds,Organometallic compounds,Organotransition metal compounds,NA,Organotransition metal compounds,medium,NA,NA,FALSE,FALSE
"Fatty acids, tall-oil, compds. with oleylamine",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Fatty acids and conjugates,medium,NA,NA,FALSE,FALSE
"A mixture of: bis(2,2,6,6-tetramethyl-1-octyloxypiperidin-4-yl)-1,10-decanedioate; 1,8-bis[(2,2,6,6-tetramethyl-4-((2,2,6,6-tetramethyl-1-octyloxypiperidin-4-yl)-decan-1,10-dioyl)piperidin-1-yl)oxy]octane",TRUE,Organic compounds,Organoheterocyclic compounds,Azacyclic compounds,Piperidines,Piperidines,medium,NA,NA,FALSE,FALSE
"Fatty acids, C14-18 and C16-18-unsatd., barium salts",TRUE,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,Long-chain fatty acids,medium,NA,NA,FALSE,FALSE
"tert-butyl 3-[(2S)-3-[[(1S)-1-[[(1S,2S)-1-[[(1S)-2-[[2-[[2-[(2S)-2-[[(1S)-2-[[(1S)-2-[[2-[[(1S)-2-[(2S)-2-[(2S)-2-[(2S)-2-[[(1S)-2-amino-1-(tert-butoxymethyl)-2-oxo-ethyl]carbamoyl]pyrrolidine-1-carbonyl]pyrrolidine-1-carbonyl]pyrrolidin-1-yl]-1-methyl-2-oxo-ethyl]amino]-2-oxo-ethyl]amino]-1-(tert-butoxymethyl)-2-oxo-ethyl]amino]-1-(tert-butoxymethyl)-2-oxo-ethyl]carbamoyl]pyrrolidin-1-yl]-2-oxo-ethyl]amino]-2-oxo-ethyl]amino]-1-methyl-2-oxo-ethyl]carbamoyl]-2-methyl-butyl]carbamoyl]-3-methyl-butyl]amino]-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S,3S)-2-[[(2S)-2-[[(2S)-4-tert-butoxy-2-[[(2S)-2-[[2-[[(2S,3S)-2-[[(2S)-3-tert-butoxy-2-[[(2S)-2-[[(2S)-4-tert-butoxy-2-[[(2S)-3-tert-butoxy-2-[[(2S,3R)-3-tert-butoxy-2-[[(2S)-2-[[(2S,3R)-3-tert-butoxy-2-[[2-[[(2S)-5-tert-butoxy-2-[[2-[[(2S)-2-(tert-butoxycarbonylamino)-3-(4-tert-butoxyphenyl)propanoyl]amino]-2-methyl-propanoyl]amino]-5-oxo-pentanoyl]amino]acetyl]amino]butanoyl]amino]-3-phenyl-propanoyl]amino]butanoyl]amino]propanoyl]amino]-4-oxo-butanoyl]amino]-3-(4-tert-butoxyphenyl)propanoyl]amino]propanoyl]amino]-3-methyl-pentanoyl]amino]-2-methyl-propanoyl]amino]-4-methyl-pentanoyl]amino]-4-oxo-butanoyl]amino]-6-(tert-butoxycarbonylamino)hexanoyl]amino]-3-methyl-pentanoyl]amino]propanoyl]amino]-5-oxo-5-(tritylamino)pentanoyl]amino]-6-[[2-[2-[2-[[2-[2-[2-[[(4S)-5-tert-butoxy-4-[(20-tert-butoxy-20-oxo-icosanoyl)amino]-5-oxo-pentanoyl]amino]ethoxy]ethoxy]acetyl]amino]ethoxy]ethoxy]acetyl]amino]hexanoyl]amino]propanoyl]amino]-3-phenyl-propanoyl]amino]-3-methyl-butanoyl]amino]-5-oxo-5-(tritylamino)pentanoyl]amino]-3-oxo-propyl]indole-1-carboxylate",TRUE,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues",Polypeptides,high,NA,NA,FALSE,FALSE
Trisodium (1-(3-carboxylato-2-oxido-5-sulfonatophenylazo)-5-hydroxy-7-sulfonatonaphthalen-2-amido)nickel(II),TRUE,Organic compounds,Organometallic compounds,Organotransition metal compounds,NA,Organotransition metal compounds,medium,NA,NA,FALSE,FALSE
"Hydrocarbons, C4, 1,3-butadiene-free, polymd., tetraisobutylene fraction",TRUE,Organic compounds,Hydrocarbons,Unsaturated hydrocarbons,NA,Branched unsaturated hydrocarbons,medium,NA,NA,FALSE,FALSE
"Baseoil - unspecified|Hydrocarbons, C<sub>27-45</sub>, dearomatized",TRUE,Organic compounds,Hydrocarbons,Saturated hydrocarbons,NA,Saturated hydrocarbons,medium,NA,NA,FALSE,FALSE
"Tin ores, melting residues, hardhead",TRUE,Inorganic compounds,Mixed metal/non-metal compounds,Miscellaneous mixed metal/non-metals,NA,Miscellaneous mixed metal/non-metals,low,NA,NA,FALSE,FALSE
"Phenol, 4-amino-, reaction products with aniline, 4-methyl-1,3-benzenediamine, p-phenylenediamine, sodium sulfide (Na2S) and sulfur",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary aromatic amines,low,NA,NA,FALSE,FALSE
DAI-EL PERFLUOR,TRUE,Organic compounds,Organohalogen compounds,Organofluorides,NA,Organofluorides,medium,NA,NA,FALSE,FALSE
"amines, hydrogenated tallow alkyl",TRUE,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Monoalkylamines,medium,NA,NA,FALSE,FALSE
"Alkyl 4-(6-(6-(1-butoxyvinyl)-8-cycloalkyl-5-alkyl-7-oxo-7,8-dihydropyrido[2,3-d]pyrimidin-2-ylamino)pyridine-3-yl)piperazine-1-caboxylate",TRUE,Organic compounds,Organoheterocyclic compounds,Pyridopyrimidines,NA,"Pyrido[2,3-d]pyrimidines",high,NA,NA,FALSE,FALSE
Sodium sulphate and zinc hydroxide resulting from manufacture of tellurium dioxide from zinc telluride,TRUE,Inorganic compounds,Inorganic salts,Alkaline earth metal salts,NA,Alkaline earth metal sulfates,low,NA,NA,FALSE,FALSE
